,id,cari,mig,sex,age,fam_size,rural_urban
2862,174904064,2,1,Woman,28,3,Rural
2863,174904063,2,0,Woman,73,3,Rural
2864,174904061,2,0,Woman,43,6,Rural
2865,174904044,2,0,Man,76,3,Urban
2866,174904041,1,1,Woman,20,8,Rural
2867,174904038,2,0,Woman,70,4,Rural
2868,174903981,2,1,Man,50,6,Urban
2869,174903977,1,0,Woman,70,2,Urban
2870,174903975,2,0,Woman,77,2,Rural
2871,174903974,1,1,Woman,71,1,Urban
2872,174903973,3,1,Woman,31,3,Rural
2873,174903972,2,0,Man,71,3,Urban
2874,174903971,2,1,Woman,32,5,Urban
2875,174903970,2,1,Woman,30,4,Urban
2876,174903968,3,1,Man,29,2,Rural
2877,174903863,1,1,Man,38,6,Urban
2878,174903860,1,1,Woman,34,9,Urban
2879,174903859,1,0,Man,64,5,Urban
2880,174903855,1,1,Woman,24,5,Urban
2881,174903853,1,0,Woman,40,3,Urban
2882,174903852,2,1,Woman,41,4,Urban
2883,174903753,3,0,Man,60,11,Urban
2884,174903751,3,1,Woman,50,3,Urban
2885,174903749,3,1,Man,72,2,Urban
2886,174903747,3,0,Woman,61,4,Urban
2887,174901600,2,1,Man,47,5,Rural
2888,174901595,2,1,Woman,43,9,Rural
2889,174901589,2,1,Woman,71,12,Rural
2890,174901583,2,1,Woman,25,3,Urban
2891,174901577,2,1,Man,85,3,Rural
2892,174901570,1,1,Woman,59,5,Rural
2893,174901567,2,1,Woman,48,13,Rural
2894,174901560,2,1,Woman,36,5,Rural
2895,174901556,2,0,Woman,72,5,Rural
2896,174901548,1,1,Man,37,3,Urban
2897,174901542,2,1,Woman,45,4,Urban
2898,174901537,2,1,Woman,43,6,Urban
2899,174901529,1,1,Man,29,7,Urban
2900,174901525,2,1,Woman,39,5,Rural
2901,174898982,1,1,Man,24,6,Rural
2902,174898971,2,1,Woman,43,6,Rural
2903,174898962,2,0,Man,62,6,Rural
2904,174898944,2,1,Woman,25,3,Rural
2905,174898881,1,1,Woman,50,8,Rural
2906,174897956,3,0,Woman,59,2,Rural
2907,174897952,2,1,Man,60,7,Rural
2908,174897663,2,1,Man,24,4,Rural
2909,174897658,2,1,Woman,31,5,Rural
2910,174897618,1,1,Man,51,5,Rural
2911,174897224,2,0,Woman,43,7,Rural
2912,174897216,2,1,Man,39,7,Rural
2913,174897210,2,1,Woman,40,6,Rural
2914,174897205,2,1,Man,36,6,Rural
