country,neighborhood,rural_urban,sex,age,family_type,family_size,mig_int_global,mig_plan_global,mig_prep_global,mig_int_dom,mig_plan_dom,mig_prep_dom,ppl_mig_num_5y,currency,exp_monthly_food,income_exp_month_food,income_month_avg,deposit_currency,monthly_income,CARI
GT,CULVILLA,1,1,55,1,3,0,,,0,,,0,3,400,3,1,3.0,1250.0,1
GT,CULVILLA,1,2,56,1,3,0,,,0,,,1,3,300,3,1,3.0,1600.0,1
GT,CULVILLA,1,1,26,1,2,0,,,0,,,0,3,250,4,1,3.0,900.0,1
GT,El bueyero,1,1,48,2,2,0,,,0,,,2,3,400,2,99,,,1
GT,El bueyero,1,1,48,1,5,0,,,0,,,0,3,1500,1,99,,,1
GT,El bueyero,1,1,24,1,4,0,,,0,,,0,3,400,1,99,,,1
GT,El bueyero,1,2,32,1,3,0,,,0,,,0,3,500,4,1,3.0,1500.0,1
GT,El bueyero,1,1,41,1,4,0,,,0,,,0,3,700,3,1,3.0,3900.0,1
GT,EL CARMEN BUXUP,1,1,54,2,3,0,,,0,,,1,3,400,1,99,,,1
GT,EL CARMEN BUXUP,1,1,55,9,3,0,,,0,,,0,3,400,2,99,,,1
GT,EL  CARMEN BUXUP,1,1,38,1,4,0,,,0,,,0,3,2000,3,99,,,1
GT,EL CARMEN BUXUP,1,2,75,9,1,0,,,0,,,0,3,700,2,99,,,1
GT,EL CARMEN BUXUP,1,1,49,1,2,0,,,0,,,0,3,1500,1,99,,,1
GT,EL CARMEN BUXUP,1,1,35,1,5,0,,,0,,,0,3,1500,2,99,,,1
GT,EL CARMEN BUXUP,1,1,31,1,6,0,,,0,,,0,3,750,2,1,3.0,1500.0,1
GT,EL CARMEN BUXUP,1,1,34,1,5,0,,,0,,,0,3,2000,2,99,,,1
GT,Aldea atulapa,1,1,58,2,4,0,,,0,,,0,3,2000,3,1,3.0,3000.0,1
GT,Aldea tulapa,1,1,50,1,3,0,,,0,,,0,3,2000,5,1,3.0,2500.0,1
GT,Aldea Atulapa,1,1,52,2,4,0,,,0,,,1,3,400,5,1,3.0,5000.0,1
GT,Aldea Atulapa,1,1,56,1,5,0,,,0,,,0,3,150,5,99,,,1
GT,Aldea Tulapa,1,1,41,5,5,0,,,0,,,0,3,800,1,1,3.0,5000.0,1
GT,El bueyero,1,1,22,1,2,0,,,0,,,0,3,700,2,1,3.0,5000.0,1
GT,El bueyero,1,2,50,1,2,0,,,0,,,0,3,1300,2,1,3.0,9000.0,1
GT,El bueyero,1,1,41,9,1,0,,,0,,,0,3,750,2,1,3.0,6000.0,1
GT,Canton Tonina,1,2,62,1,5,0,,,0,,,2,3,600,1,1,3.0,2000.0,1
GT,Canton tonina,1,1,51,1,5,0,,,0,,,0,3,1000,3,0,,,1
GT,Canton tonina,1,1,18,2,3,0,,,0,,,0,3,1500,1,0,,,1
GT,Canton tonina,1,2,87,1,11,0,,,0,,,0,3,1000,3,0,,,1
GT,Nueva reforma majada,1,1,63,1,11,0,,,0,,,0,3,300,5,1,3.0,1000.0,1
GT,PEB'IL PAM,1,1,60,5,7,0,,,0,,,0,3,1000,3,0,,,1
GT,PEB'IL PAM,1,2,57,5,7,0,,,0,,,0,3,400,5,1,3.0,1600.0,1
